2026-02-22 17:23:23,173 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,174 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,176 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,196 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,212 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,216 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 16418.0)
2026-02-22 17:23:23,217 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,218 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,219 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,220 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,221 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,222 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,223 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,224 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,225 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,226 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,226 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,227 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
2026-02-22 17:23:23,228 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 14861.0)
2026-02-22 17:23:23,232 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-DEN | Best Bid: (0.61, 3088.0) | Best Ask: (Decimal('0.6400'), 14861.0)
2026-02-22 17:23:23,250 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB22DENGSW-GSW | Best Bid: (0.36, 3863.0) | Best Ask: (Decimal('0.3700'), 873.0)
