2026-03-01 22:13:36,408 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-LAC | Best Bid: (0.83, 64451.0) | Best Ask: (Decimal('0.8400'), 26402.0)
2026-03-01 22:13:36,416 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-LAC | Best Bid: (0.83, 64451.0) | Best Ask: (Decimal('0.8400'), 26402.0)
2026-03-01 22:13:36,499 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-LAC | Best Bid: (0.83, 64451.0) | Best Ask: (Decimal('0.8400'), 26402.0)
2026-03-01 22:13:36,567 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,616 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 52226.0)
2026-03-01 22:13:36,661 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 52226.0)
2026-03-01 22:13:36,667 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,669 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 52226.0)
2026-03-01 22:13:36,673 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 52297.0)
2026-03-01 22:13:36,677 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 55503.0)
2026-03-01 22:13:36,708 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,727 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 56253.0)
2026-03-01 22:13:36,748 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,813 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,815 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,861 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,863 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,868 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-LAC | Best Bid: (0.83, 64441.0) | Best Ask: (Decimal('0.8400'), 26402.0)
2026-03-01 22:13:36,910 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 57003.0)
2026-03-01 22:13:36,949 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 68747.0)
2026-03-01 22:13:36,964 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:36,997 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01NOPLAC-NOP | Best Bid: (0.16, 6904.0) | Best Ask: (Decimal('0.1700'), 73997.0)
2026-03-01 22:13:37,011 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 57074.0)
2026-03-01 22:13:37,018 | INFO | Updated order book for Asset ID: KXNBAGAME-26MAR01PHIBOS-PHI | Best Bid: (0.06, 24234.0) | Best Ask: (Decimal('0.0700'), 57024.0)
