2026-02-26 21:21:24,876 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.410'), Decimal('716.000')) | Best Ask: (Decimal('0.430'), Decimal('2674.000'))
2026-02-26 21:21:24,900 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('2674.000')) | Best Ask: (Decimal('0.590'), Decimal('716.000'))
2026-02-26 21:21:24,900 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.410'), Decimal('716.000')) | Best Ask: (Decimal('0.430'), Decimal('2674.000'))
2026-02-26 21:21:24,900 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('2674.000')) | Best Ask: (Decimal('0.600'), Decimal('521.000'))
2026-02-26 21:21:24,900 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('521.000')) | Best Ask: (Decimal('0.430'), Decimal('2674.000'))
2026-02-26 21:21:25,035 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3386.000')) | Best Ask: (Decimal('0.600'), Decimal('1233.000'))
2026-02-26 21:21:25,035 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('1233.000')) | Best Ask: (Decimal('0.430'), Decimal('3386.000'))
2026-02-26 21:21:25,051 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
2026-02-26 21:21:25,051 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26-inverse | Best Bid: (Decimal('0.400'), Decimal('3679.000')) | Best Ask: (Decimal('0.430'), Decimal('3909.000'))
2026-02-26 21:21:25,132 | INFO | Loaded snapshot for Asset ID: aec-nba-lal-pho-2026-02-26 | Best Bid: (Decimal('0.570'), Decimal('3909.000')) | Best Ask: (Decimal('0.600'), Decimal('3679.000'))
