2026-02-27 21:32:21,485 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,485 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,485 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,497 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,497 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,497 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2600'), 1566.0)
2026-02-27 21:32:21,499 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-CLE | Best Bid: (0.73, 1580.0) | Best Ask: (Decimal('0.7400'), 100.0)
2026-02-27 21:32:21,499 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27CLEDET-DET | Best Bid: (0.25, 15.0) | Best Ask: (Decimal('0.2700'), 483.0)
2026-02-27 21:32:21,500 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-DAL | Best Bid: (0.16, 19342.0) | Best Ask: (Decimal('0.1700'), 9454.0)
2026-02-27 21:32:21,503 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-MEM | Best Bid: (0.82, 7776.0) | Best Ask: (Decimal('0.8300'), 87.0)
2026-02-27 21:32:21,504 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB27MEMDAL-DAL | Best Bid: (0.16, 19342.0) | Best Ask: (Decimal('0.1700'), 9454.0)
