2026-03-01 22:13:28,756 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:28,977 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:28,977 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:29,021 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:29,021 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:29,082 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:29,083 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:29,433 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:29,433 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:29,886 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01 | Best Bid: (Decimal('0.050'), Decimal('3461.000')) | Best Ask: (Decimal('0.070'), Decimal('1043.000'))
2026-03-01 22:13:29,887 | INFO | Loaded snapshot for Asset ID: aec-nba-phi-bos-2026-03-01-inverse | Best Bid: (Decimal('0.930'), Decimal('1043.000')) | Best Ask: (Decimal('0.950'), Decimal('3461.000'))
2026-03-01 22:13:30,077 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('3454.000')) | Best Ask: (Decimal('0.170'), Decimal('322.000'))
2026-03-01 22:13:30,078 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('322.000')) | Best Ask: (Decimal('0.850'), Decimal('3454.000'))
2026-03-01 22:13:30,413 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13557.000')) | Best Ask: (Decimal('0.170'), Decimal('322.000'))
2026-03-01 22:13:30,414 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('322.000')) | Best Ask: (Decimal('0.850'), Decimal('13557.000'))
2026-03-01 22:13:30,676 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01 | Best Bid: (Decimal('0.150'), Decimal('13357.000')) | Best Ask: (Decimal('0.170'), Decimal('322.000'))
2026-03-01 22:13:30,677 | INFO | Loaded snapshot for Asset ID: aec-nba-no-lac-2026-03-01-inverse | Best Bid: (Decimal('0.830'), Decimal('322.000')) | Best Ask: (Decimal('0.850'), Decimal('13357.000'))
2026-03-01 22:13:30,810 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (Decimal('0.980'), Decimal('3546.000')) | Best Ask: (None, None)
2026-03-01 22:13:30,810 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (Decimal('0.020'), Decimal('3546.000'))
2026-03-01 22:13:30,896 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01 | Best Bid: (Decimal('0.980'), Decimal('3977.000')) | Best Ask: (None, None)
2026-03-01 22:13:30,897 | INFO | Loaded snapshot for Asset ID: aec-nba-okc-dal-2026-03-01-inverse | Best Bid: (None, None) | Best Ask: (Decimal('0.020'), Decimal('3977.000'))
