2026-02-22 17:23:32,047 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('550.000'))
2026-02-22 17:23:32,047 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('550.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:32,111 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('550.000'))
2026-02-22 17:23:32,111 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('550.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:32,141 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('550.000'))
2026-02-22 17:23:32,142 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('550.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:32,288 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.620'), Decimal('2500.000')) | Best Ask: (Decimal('0.660'), Decimal('550.000'))
2026-02-22 17:23:32,289 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('550.000')) | Best Ask: (Decimal('0.380'), Decimal('2500.000'))
2026-02-22 17:23:32,656 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.620'), Decimal('26.000')) | Best Ask: (Decimal('0.660'), Decimal('550.000'))
2026-02-22 17:23:32,658 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('550.000')) | Best Ask: (Decimal('0.380'), Decimal('26.000'))
2026-02-22 17:23:32,841 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.620'), Decimal('26.000')) | Best Ask: (Decimal('0.660'), Decimal('250.000'))
2026-02-22 17:23:32,841 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('250.000')) | Best Ask: (Decimal('0.380'), Decimal('26.000'))
2026-02-22 17:23:33,175 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('250.000'))
2026-02-22 17:23:33,175 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('250.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
2026-02-22 17:23:33,208 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('30.000')) | Best Ask: (Decimal('0.660'), Decimal('250.000'))
2026-02-22 17:23:33,208 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.340'), Decimal('250.000')) | Best Ask: (Decimal('0.370'), Decimal('30.000'))
