2026-03-12 22:21:44,845 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1268.0)
2026-03-12 22:21:44,845 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.41, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,845 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.41, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,845 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1268.0)
2026-03-12 22:21:44,847 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1268.0)
2026-03-12 22:21:44,847 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,847 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.41, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,847 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,849 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,849 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,849 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,849 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,851 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,851 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.42, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,851 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.43, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,851 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,851 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.43, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,853 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,853 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.43, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,853 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,855 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-LAD | Best Bid: (0.43, 634.0) | Best Ask: (Decimal('0.5800'), 732.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5700'), 1311.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR132110LADSEA-SEA | Best Bid: (0.43, 466.0) | Best Ask: (Decimal('0.5600'), 1268.0)
2026-03-12 22:21:44,856 | INFO | Updated order book for Asset ID: KXMLBSTGAME-26MAR131610TEXCOL-COL | Best Bid: (0.44, 673.0) | Best Ask: (Decimal('0.4700'), 1608.0)
