2026-02-27 21:29:48,601 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.430'), Decimal('200.000')) | Best Ask: (Decimal('0.470'), Decimal('845.000'))
2026-02-27 21:29:48,862 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27 | Best Bid: (Decimal('0.960'), Decimal('7665.000')) | Best Ask: (Decimal('0.980'), Decimal('1030.000'))
2026-02-27 21:29:48,862 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27-inverse | Best Bid: (Decimal('0.020'), Decimal('1030.000')) | Best Ask: (Decimal('0.040'), Decimal('7665.000'))
2026-02-27 21:29:49,010 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.570'), Decimal('885.000'))
2026-02-27 21:29:49,011 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.430'), Decimal('885.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,103 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.570'), Decimal('200.000'))
2026-02-27 21:29:49,103 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.430'), Decimal('200.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,202 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.570'), Decimal('200.000'))
2026-02-27 21:29:49,202 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.430'), Decimal('200.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,304 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:49,304 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,383 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27 | Best Bid: (Decimal('0.780'), Decimal('4245.000')) | Best Ask: (Decimal('0.800'), Decimal('19.000'))
2026-02-27 21:29:49,383 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27-inverse | Best Bid: (Decimal('0.200'), Decimal('19.000')) | Best Ask: (Decimal('0.220'), Decimal('4245.000'))
2026-02-27 21:29:49,611 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:49,611 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,711 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:49,711 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,812 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:49,812 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,881 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27 | Best Bid: (Decimal('0.960'), Decimal('7665.000')) | Best Ask: (Decimal('0.980'), Decimal('600.000'))
2026-02-27 21:29:49,881 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27-inverse | Best Bid: (Decimal('0.020'), Decimal('600.000')) | Best Ask: (Decimal('0.040'), Decimal('7665.000'))
2026-02-27 21:29:49,921 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:49,921 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:49,979 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27 | Best Bid: (Decimal('0.960'), Decimal('7665.000')) | Best Ask: (Decimal('0.980'), Decimal('600.000'))
2026-02-27 21:29:49,979 | INFO | Loaded snapshot for Asset ID: aec-nba-ny-mil-2026-02-27-inverse | Best Bid: (Decimal('0.020'), Decimal('600.000')) | Best Ask: (Decimal('0.040'), Decimal('7665.000'))
2026-02-27 21:29:50,019 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27 | Best Bid: (Decimal('0.530'), Decimal('3607.000')) | Best Ask: (Decimal('0.560'), Decimal('2881.000'))
2026-02-27 21:29:50,019 | INFO | Loaded snapshot for Asset ID: aec-nba-cle-det-2026-02-27-inverse | Best Bid: (Decimal('0.440'), Decimal('2881.000')) | Best Ask: (Decimal('0.470'), Decimal('3607.000'))
2026-02-27 21:29:50,106 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27 | Best Bid: (Decimal('0.780'), Decimal('4245.000')) | Best Ask: (Decimal('0.800'), Decimal('14.000'))
2026-02-27 21:29:50,106 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27-inverse | Best Bid: (Decimal('0.200'), Decimal('14.000')) | Best Ask: (Decimal('0.220'), Decimal('4245.000'))
2026-02-27 21:29:50,194 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27 | Best Bid: (Decimal('0.780'), Decimal('3949.000')) | Best Ask: (Decimal('0.800'), Decimal('19.000'))
2026-02-27 21:29:50,194 | INFO | Loaded snapshot for Asset ID: aec-nba-mem-dal-2026-02-27-inverse | Best Bid: (Decimal('0.200'), Decimal('19.000')) | Best Ask: (Decimal('0.220'), Decimal('3949.000'))
