2026-03-29 18:14:51,798 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNHLGAME-26MAR29NSHTB-NSH at 0.5300 and Buy YES on KXNHLGAME-26MAR29NSHTB-TB at 0.4300 of size 8 | Combined Price: 7.9600
2026-03-29 19:03:20,096 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.22 and Buy NO on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.75 of size 5 | Combined Price: 4.99
2026-03-29 19:03:20,100 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.75 and Buy NO on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.22 of size 5 | Combined Price: 4.99
2026-03-29 19:13:44,285 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29BOSCBJ-CBJ at 0.04 and Buy NO on KXNHLGAME-26MAR29BOSCBJ-BOS at 0.95 of size 98 | Combined Price: 97.62
2026-03-29 19:13:44,285 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29BOSCBJ-BOS at 0.95 and Buy NO on KXNHLGAME-26MAR29BOSCBJ-CBJ at 0.04 of size 98 | Combined Price: 97.62
2026-03-29 19:18:07,575 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.8200 and Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.1500 of size 61 | Combined Price: 60.3600
2026-03-29 19:18:07,575 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.1500 and Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.8200 of size 61 | Combined Price: 60.3600
2026-03-29 19:19:56,067 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.1000 and Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.8800 of size 24 | Combined Price: 23.8600
2026-03-29 19:19:56,067 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-CONN at 0.8800 and Buy YES on KXNCAAMBGAME-26MAR29CONNDUKE-DUKE at 0.1000 of size 24 | Combined Price: 23.8600
2026-03-29 19:22:00,932 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29MTLCAR-CAR at 0.94 and Buy NO on KXNHLGAME-26MAR29MTLCAR-MTL at 0.05 of size 186 | Combined Price: 185.50
2026-03-29 19:22:00,932 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29MTLCAR-MTL at 0.05 and Buy NO on KXNHLGAME-26MAR29MTLCAR-CAR at 0.94 of size 186 | Combined Price: 185.50
2026-03-29 19:28:52,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29BOSCBJ-CBJ at 0.14 and Buy NO on KXNHLGAME-26MAR29BOSCBJ-BOS at 0.84 of size 1834 | Combined Price: 1830.04
2026-03-29 19:28:52,077 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy NO on KXNHLGAME-26MAR29BOSCBJ-BOS at 0.84 and Buy NO on KXNHLGAME-26MAR29BOSCBJ-CBJ at 0.14 of size 1834 | Combined Price: 1830.04
2026-03-29 19:36:09,617 | INFO | Intra-Kalshi Arbitrage Opportunity: Buy YES on KXNCAABBGAME-26MAR281300LALHCC-LAL at 0.9600 and Buy YES on KXNCAABBGAME-26MAR281300LALHCC-HCC at 0.0100 of size 39 | Combined Price: 37.9700
