2026-02-26 21:38:58,036 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,048 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,062 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 56.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,064 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 56.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,064 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 56.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,070 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-ORL | Best Bid: (0.82, 9012.0) | Best Ask: (Decimal('0.6100'), 15130.0)
2026-02-26 21:38:58,079 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,081 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,096 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 1.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,112 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.4, 1.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,115 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.37, 4616.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,123 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,131 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
