timestamp,ticker,best_bid_price,best_bid_size,best_ask_price,best_ask_size,bid_levels,ask_levels,spread
2026-02-08T18:56:08.824879,KXSB-26-NE,0.33,500.0,0.34,50745.0,33,66,0.01
2026-02-08T18:56:08.824879,KXSB-26-SEA,0.68,11872.0,0.7,843668.0,68,29,0.02
2026-02-08T18:56:09.826593,KXSB-26-NE,0.33,500.0,0.34,50745.0,33,66,0.01
2026-02-08T18:56:09.826593,KXSB-26-SEA,0.68,11872.0,0.7,843668.0,68,29,0.02
2026-02-08T18:56:10.828002,KXSB-26-NE,0.33,502.0,0.34,46968.0,33,66,0.01
2026-02-08T18:56:10.828002,KXSB-26-SEA,0.69,95.0,0.7,843364.0,69,29,0.01
2026-02-08T18:56:11.829825,KXSB-26-NE,0.33,508.0,0.34,43926.0,33,66,0.01
2026-02-08T18:56:11.829825,KXSB-26-SEA,0.69,93.0,0.7,843183.0,69,29,0.01
2026-02-08T18:56:12.830627,KXSB-26-NE,0.33,508.0,0.34,43926.0,33,66,0.01
2026-02-08T18:56:12.830627,KXSB-26-SEA,0.69,93.0,0.7,843183.0,69,29,0.01
2026-02-08T18:56:13.831926,KXSB-26-NE,0.33,508.0,0.34,40600.0,33,66,0.01
2026-02-08T18:56:13.831926,KXSB-26-SEA,0.68,11872.0,0.7,842040.0,68,29,0.02
2026-02-08T18:56:14.833990,KXSB-26-NE,0.33,481.0,0.34,5153.0,33,66,0.01
2026-02-08T18:56:14.833990,KXSB-26-SEA,0.69,24000.0,0.7,793021.0,69,29,0.01
2026-02-08T18:56:15.836393,KXSB-26-NE,0.33,481.0,0.34,5153.0,33,66,0.01
2026-02-08T18:56:15.836393,KXSB-26-SEA,0.69,24000.0,0.7,793021.0,69,29,0.01
2026-02-08T18:56:16.837712,KXSB-26-NE,0.33,481.0,0.34,5153.0,33,66,0.01
2026-02-08T18:56:16.837712,KXSB-26-SEA,0.69,24000.0,0.7,793021.0,69,29,0.01
2026-02-08T18:56:17.839398,KXSB-26-NE,0.33,467.0,0.35,887828.0,33,65,0.02
